Congruency,ImageFile,CalorieLabels,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text_2.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,jitter.started,trial.stopped,food1.started,image.started,key_resp_3.started,text_4.started,text_4.stopped,food1.stopped,trials.key_resp_3.keys,blank.started,text.started,blank.stopped,trials.key_resp_3.rt,trials.key_resp_3.duration,jitter.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.014259699964895844,0.029633799917064607,0.029633799917064607,1.9050941999303177,space,1.8000072999857366,None,,,,,,,,,,,,,,,,,316747,001,2025-09-13_11h00.05.588,stroop_alimentario,2024.2.4,60.143502425237635,2025-09-13 11h00.17.994944 -0300,
congruente,images/PIMIENTOS.png,bajas calorias,0,0,0,None,,,0,0,0,33,1.9440278999973089,,,,,,,,,1.9272528999717906,1.9440278999973089,2.4133015999104828,2.4311528999824077,2.4604478999972343,2.4604478999972343,2.4604478999972343,3.461061699897982,4.413584399968386,None,4.413632999989204,4.426552799995989,5.415017999941483,,,,316747,001,2025-09-13_11h00.05.588,stroop_alimentario,2024.2.4,60.143502425237635,2025-09-13 11h00.17.994944 -0300,
congruente,images/DONUT.png,altas calorias,1,1,0,j,0.5365236999932677,0.11029790004249662,0,1,1,13,5.425937799969688,,,,,,,,,5.415144599974155,5.425937799969688,5.909248599899001,5.92714819998946,5.940593999926932,5.940593999926932,5.940593999926932,6.956422599963844,7.908432999975048,j,7.908483799896203,7.9224206999642774,8.906441299943253,0.5365236999932677,0.11029790004249662,,316747,001,2025-09-13_11h00.05.588,stroop_alimentario,2024.2.4,60.143502425237635,2025-09-13 11h00.17.994944 -0300,
congruente,images/JUDIA.png,bajas calorias,2,2,0,j,1.2625635999720544,0.09518449997995049,0,2,2,24,8.921302599948831,,,,,,,,,8.906603199895471,8.921302599948831,9.408150699920952,9.426182799972594,9.437235599965788,9.437235599965788,9.437235599965788,10.436372899916023,11.405275799916126,j,11.40532829996664,11.419053999939933,12.406652199919336,1.2625635999720544,0.09518449997995049,,316747,001,2025-09-13_11h00.05.588,stroop_alimentario,2024.2.4,60.143502425237635,2025-09-13 11h00.17.994944 -0300,
congruente,images/BROWNIE.png,altas calorias,3,3,0,f,0.5156036000698805,0.07508739992044866,0,3,3,6,12.417662799940445,,,,,,,,,12.406781999976374,12.417662799940445,12.90532199991867,12.923203799990006,12.933434499893337,12.933434499893337,12.933434499893337,13.934725899947807,14.916648399899714,f,14.91669619991444,14.931908699916676,15.916173499892466,0.5156036000698805,0.07508739992044866,12.933434499893337,316747,001,2025-09-13_11h00.05.588,stroop_alimentario,2024.2.4,60.143502425237635,2025-09-13 11h00.17.994944 -0300,
congruente,images/ESPARRAGOS.png,bajas calorias,4,4,0,j,0.49498429999221116,0.13295750005636364,0,4,4,16,15.93131099990569,,,,,,,,,15.916288699954748,15.93131099990569,16.415628799935803,16.42767569993157,16.447372299968265,16.447372299968265,16.447372299968265,17.44906579994131,18.41605629993137,j,18.41610919998493,18.430157499969937,19.414916199981235,0.49498429999221116,0.13295750005636364,,316747,001,2025-09-13_11h00.05.588,stroop_alimentario,2024.2.4,60.143502425237635,2025-09-13 11h00.17.994944 -0300,
congruente,images/HELADO.png,altas calorias,5,5,0,f,0.45328340004198253,0.0698892999207601,0,5,5,22,19.42857699992601,,,,,,,,,19.415034399949946,19.42857699992601,19.913392799906433,19.929514199960977,19.943505199975334,19.943505199975334,19.943505199975334,20.943043599952944,21.912465399946086,f,21.912513899966143,21.925109899952076,22.910512599977665,0.45328340004198253,0.0698892999207601,,316747,001,2025-09-13_11h00.05.588,stroop_alimentario,2024.2.4,60.143502425237635,2025-09-13 11h00.17.994944 -0300,
congruente,images/GALLETAS.png,altas calorias,6,6,0,f,0.5350798000581563,0.07541699998546392,0,6,6,19,22.924841499887407,,,,,,,,,22.91063319996465,22.924841499887407,23.409328799927607,23.42249249992892,23.440426799934357,23.440426799934357,23.440426799934357,24.439759199973196,25.408313299994916,f,25.408367999945767,25.422172299935482,26.40667499997653,0.5350798000581563,0.07541699998546392,,316747,001,2025-09-13_11h00.05.588,stroop_alimentario,2024.2.4,60.143502425237635,2025-09-13 11h00.17.994944 -0300,
incongruente,images/DULCEDEAZUCAR.png,bajas calorias,7,7,0,j,0.5229395000496879,0.09455280005931854,0,7,7,54,26.422255799989216,,,,,,,,,26.40679869998712,26.422255799989216,26.90701729990542,26.922838799888268,26.93688639998436,26.93688639998436,26.93688639998436,27.93614849995356,28.90587069990579,j,28.905922299949452,28.919077499886043,29.906914399936795,0.5229395000496879,0.09455280005931854,,316747,001,2025-09-13_11h00.05.588,stroop_alimentario,2024.2.4,60.143502425237635,2025-09-13 11h00.17.994944 -0300,
incongruente,images/BACON.png,bajas calorias,8,8,0,,,,0,8,8,43,29.918496299884282,,,,,,,,,29.907123099896125,29.918496299884282,30.406191999907605,30.420901899924502,30.43477489997167,30.43477489997167,30.43477489997167,,,,,,,,,,,,,,,,,
